id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
5023,NZAA,large_airport,"Auckland International Airport",-37.01199,174.786331,23,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,Auckland,1,NZAA,AKL,,http://www.auckland-airport.co.nz/,https://en.wikipedia.org/wiki/Auckland_International_Airport,,51475,2022-03-29T22:03:00+00:00
5026,NZCH,large_airport,"Christchurch International Airport",-43.48939895629883,172.53199768066406,123,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,Christchurch,1,NZCH,CHC,,http://www.christchurchairport.co.nz/,https://en.wikipedia.org/wiki/Christchurch_International_Airport,,1275,2008-06-13T14:30:04+00:00
5063,NZWN,large_airport,"Wellington International Airport",-41.3272018433,174.804992676,41,OC,"New Zealand",NZ,"Wellington Region",NZ-WGN,WGN,Wellington,1,NZWN,WLG,,http://www.wellingtonairport.co.nz/,https://en.wikipedia.org/wiki/Wellington_International_Airport,,1275,2010-02-12T14:03:11+00:00
5051,NZQN,medium_airport,"Queenstown International Airport",-45.021099,168.738998,1171,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,Queenstown,1,NZQN,ZQN,,,https://en.wikipedia.org/wiki/Queenstown_International_Airport,,750,2020-10-12T10:14:25+00:00
5028,NZDN,medium_airport,"Dunedin International Airport",-45.928101,170.197998,4,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,Dunedin,1,NZDN,DUD,,http://www.dnairport.co.nz/,https://en.wikipedia.org/wiki/Dunedin_International_Airport,,750,2021-08-06T16:50:17+00:00
5044,NZNS,medium_airport,"Nelson Airport",-41.298302,173.220993,17,OC,"New Zealand",NZ,"Nelson Region",NZ-NSN,NSN,Nelson,1,NZNS,NSN,,http://www.nelsonairport.co.nz/,https://en.wikipedia.org/wiki/Nelson_Airport_(New_Zealand),,750,2021-12-06T17:42:47+00:00
5052,NZRO,medium_airport,"Rotorua Regional Airport",-38.10919952392578,176.31700134277344,935,OC,"New Zealand",NZ,"Bay of Plenty Region",NZ-BOP,BOP,Rotorua,1,NZRO,ROT,,,https://en.wikipedia.org/wiki/Rotorua_Regional_Airport,,750,2009-08-23T20:50:01+00:00
5043,NZNR,medium_airport,"Hawke's Bay Airport",-39.465801,176.869995,6,OC,"New Zealand",NZ,"Hawke's Bay Region",NZ-HKB,HKB,Napier,1,NZNR,NPE,,http://www.hawkesbay-airport.co.nz/,https://en.wikipedia.org/wiki/Napier_Airport,,750,2016-09-19T03:35:56+00:00
30138,NZMF,small_airport,"Milford Sound Airport",-44.673301696777344,167.92300415039062,10,OC,"New Zealand",NZ,"Southland Region",NZ-STL,STL,,0,NZMF,MFN,,,,,50,2008-07-18T10:40:34+00:00
5033,NZHN,medium_airport,"Hamilton International Airport",-37.8666992188,175.332000732,172,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,Hamilton,1,NZHN,HLZ,,http://www.hamiltonairport.co.nz/,https://en.wikipedia.org/wiki/Hamilton_International_Airport,,750,2010-09-06T15:45:53+00:00
5045,NZNV,medium_airport,"Invercargill Airport",-46.41239929199219,168.31300354003906,5,OC,"New Zealand",NZ,"Southland Region",NZ-STL,STL,Invercargill,1,NZNV,IVC,,http://www.invercargillairport.co.nz/index.htm,https://en.wikipedia.org/wiki/Invercargill_Airport,,750,2008-06-13T14:30:04+00:00
5060,NZWF,medium_airport,"Wanaka Airport",-44.722954,169.248419,1142,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,Wanaka,1,NZWF,WKA,,,https://en.wikipedia.org/wiki/Wanaka_Airport,"Luggate Airport",750,2021-10-14T17:36:21+00:00
30001,NZKI,small_airport,"Kaikoura Airport",-42.42499923706055,173.60499572753906,20,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,NZKI,KBZ,,,,,50,2008-07-18T10:52:57+00:00
5049,NZPM,medium_airport,"Palmerston North Airport",-40.320599,175.617004,151,OC,"New Zealand",NZ,"Manawatu-Wanganui Region",NZ-MWT,MWT,"Palmerston North",1,NZPM,PMR,,http://www.pnairport.co.nz/index.php,https://en.wikipedia.org/wiki/Palmerston_North_International_Airport,,750,2023-04-11T00:48:21+00:00
5055,NZTG,medium_airport,"Tauranga Airport",-37.67190170288086,176.1959991455078,13,OC,"New Zealand",NZ,"Bay of Plenty Region",NZ-BOP,BOP,Tauranga,1,NZTG,TRG,,,https://en.wikipedia.org/wiki/Tauranga_Airport,,750,2009-08-23T21:06:23+00:00
5058,NZWB,medium_airport,"Woodbourne Airport",-41.5182991027832,173.8699951171875,109,OC,"New Zealand",NZ,"Marlborough Region",NZ-MBH,MBH,Blenheim,1,NZWB,BHE,,,https://en.wikipedia.org/wiki/Woodbourne_Airport,,650,2008-07-18T11:49:40+00:00
5050,NZPP,medium_airport,"Paraparaumu Airport",-40.904701232910156,174.98899841308594,22,OC,"New Zealand",NZ,"Wellington Region",NZ-WGN,WGN,,0,NZPP,PPQ,,,https://en.wikipedia.org/wiki/Paraparaumu_Airport,,250,2008-06-13T14:30:04+00:00
5031,NZGT,medium_airport,"Glentanner Airport",-43.906700134277344,170.1280059814453,1824,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,"Glentanner Station",0,NZGT,GTN,,,https://en.wikipedia.org/wiki/Glentanner_Aerodrome,"Lake Pukaki",250,2008-06-13T14:30:04+00:00
5041,NZMS,medium_airport,"Hood Airport",-40.974634,175.63454,364,OC,"New Zealand",NZ,"Wellington Region",NZ-WGN,WGN,Masterton,0,NZMS,MRO,,http://www.svas.org.nz/pages/hood_aerodrome_location.htm,https://en.wikipedia.org/wiki/Hood_Aerodrome,,250,2022-06-20T08:06:18+00:00
5032,NZHK,medium_airport,"Hokitika Airfield",-42.713600158691406,170.98500061035156,146,OC,"New Zealand",NZ,"West Coast Region",NZ-WTC,WTC,,1,NZHK,HKK,,,https://en.wikipedia.org/wiki/Hokitika_Airport,,750,2008-07-18T08:17:54+00:00
5042,NZNP,medium_airport,"New Plymouth Airport",-39.00859832763672,174.1790008544922,97,OC,"New Zealand",NZ,"Taranaki Region",NZ-TKI,TKI,"New Plymouth",1,NZNP,NPL,,,https://en.wikipedia.org/wiki/New_Plymouth_Airport,,750,2009-08-23T20:04:23+00:00
5027,NZCI,medium_airport,"Chatham Islands / Tuuta Airport",-43.81189,-176.46514,43,OC,"New Zealand",NZ,"Wellington Region",NZ-WGN,WGN,"Te One",1,NZCI,CHT,,,https://en.wikipedia.org/wiki/Chatham_Islands_/_Tuuta_Airport,Karewa,750,2021-10-14T17:26:57+00:00
5025,NZAR,medium_airport,"Ardmore Airport",-37.029701232910156,174.97300720214844,111,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,Manurewa,0,NZAR,AMZ,,http://www.nzar.co.nz/,https://en.wikipedia.org/wiki/Ardmore_Airport,,250,2009-08-10T09:17:52+00:00
5056,NZTU,medium_airport,"Timaru Airport",-44.302799224853516,171.22500610351562,89,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,1,NZTU,TIU,,,https://en.wikipedia.org/wiki/Richard_Pearse_Airport,,750,2008-06-13T14:30:04+00:00
5047,NZOU,medium_airport,"Oamaru Airport",-44.970001220703125,171.08200073242188,99,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,,1,NZOU,OAM,,,https://en.wikipedia.org/wiki/Oamaru_Aerodrome,,750,2008-06-13T14:30:04+00:00
5024,NZAP,medium_airport,"Taupo Airport",-38.73970031738281,176.08399963378906,1335,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,Taupo,1,NZAP,TUO,,,https://en.wikipedia.org/wiki/Taupo_Airport,,750,2009-08-23T21:09:02+00:00
5046,NZOH,medium_airport,"RNZAF Base Ohakea",-40.20600128173828,175.38800048828125,164,OC,"New Zealand",NZ,"Manawatu-Wanganui Region",NZ-MWT,MWT,,0,NZOH,OHA,,http://www.airforce.mil.nz/about/hqbases/boh.htm,https://en.wikipedia.org/wiki/RNZAF_Base_Ohakea,,575,2008-07-18T11:42:11+00:00
30465,NZTL,small_airport,"Tekapo Aerodrome",-44.0052986145,170.444000244,2496,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,NZTL,,,http://www.airsafaris.co.nz/flights/Tekapo/,,,50,2012-06-06T14:51:36+00:00
30214,NZOM,small_airport,"Omaka Blenheim Airport",-41.540000915527344,173.9219970703125,102,OC,"New Zealand",NZ,"Marlborough Region",NZ-MBH,MBH,Blenheim,0,NZOM,,,,,,50,2009-08-23T20:55:24+00:00
5029,NZFI,small_airport,"Feilding Airport",-40.25579833984375,175.60499572753906,214,OC,"New Zealand",NZ,"Manawatu-Wanganui Region",NZ-MWT,MWT,Feilding,0,NZFI,,,,https://en.wikipedia.org/wiki/Feilding_Aerodrome,,50,2008-06-13T14:30:04+00:00
30320,NZRT,small_airport,"Rangiora Airfield",-43.290000915527344,172.54200744628906,180,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,Rangiora,0,NZRT,,,http://www.rangiora.com/pages/rangiora-airport-and-airfield.php,,,50,2009-05-06T08:40:07+00:00
5030,NZGS,medium_airport,"Gisborne Airport",-38.663299560546875,177.97799682617188,15,OC,"New Zealand",NZ,"Gisborne Region",NZ-GIS,GIS,Gisborne,1,NZGS,GIS,,,https://en.wikipedia.org/wiki/Gisborne_Airport,,750,2009-08-23T20:19:35+00:00
5066,NZWR,medium_airport,"Whangarei Airport",-35.769253,174.363713,133,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Whangarei,1,NZWR,WRE,,,https://en.wikipedia.org/wiki/Whangarei_Airport,,750,2022-09-19T13:30:35+00:00
5039,NZMC,medium_airport,"Mount Cook Airport",-43.76499938964844,170.13299560546875,2153,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,NZMC,MON,,,,,250,2008-06-13T14:30:04+00:00
5057,NZUK,medium_airport,"Pukaki Airport",-44.2350006104,170.117996216,1575,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,Twitzel,0,NZUK,TWZ,,,https://en.wikipedia.org/wiki/Pukaki_Airport,,250,2015-08-12T09:04:11+00:00
5061,NZWG,closed,"Wigram Airport",-43.5511016846,172.552993774,74,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,Christchurch,0,,,,,https://en.wikipedia.org/wiki/Wigram_Aerodrome,"NZWG, NZWG",50,2010-06-25T10:48:28+00:00
30192,NZNE,small_airport,"North Shore Aerodrome",-36.656700134277344,174.65499877929688,210,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,"Dairy Flat",0,NZNE,,,,https://en.wikipedia.org/wiki/North_Shore_Aerodrome,"Dairy Flat Airfield",50,2009-08-10T07:52:47+00:00
30358,NZRC,small_airport,"Ryan's Creek Aerodrome",-46.8997,168.100998,62,OC,"New Zealand",NZ,"Southland Region",NZ-STL,STL,Oban,0,NZRC,SZS,,,https://en.wikipedia.org/wiki/Ryan%27s_Creek_Aerodrome,"stewart island,rakiura",50,2018-05-18T04:28:35+00:00
5036,NZKK,medium_airport,"Kerikeri Airport",-35.259148,173.913317,492,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Kerikeri,1,NZKK,KKE,,http://www.kerikeri-airport.co.nz/,https://en.wikipedia.org/wiki/Kerikeri_Airport,"Bay of Islands Airport",750,2022-09-19T12:45:34+00:00
5068,NZWU,medium_airport,"Wanganui Airport",-39.96220016479492,175.02499389648438,27,OC,"New Zealand",NZ,"Manawatu-Wanganui Region",NZ-MWT,MWT,Wanganui,1,NZWU,WAG,,,https://en.wikipedia.org/wiki/Wanganui_Airport,,750,2009-08-23T21:07:09+00:00
5065,NZWP,medium_airport,"RNZAF Base Auckland-Whenuapai",-36.78779983520508,174.6300048828125,100,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,,0,NZWP,,,http://www.airforce.mil.nz/about-us/hq-and-bases/auckland.htm,https://en.wikipedia.org/wiki/RNZAF_Base_Auckland,,500,2008-07-18T11:41:31+00:00
5067,NZWS,medium_airport,"Westport Airport",-41.737111,171.579033,13,OC,"New Zealand",NZ,"West Coast Region",NZ-WTC,WTC,Westport,1,NZWS,WSZ,,,https://en.wikipedia.org/wiki/Westport_Airport_(New_Zealand),,500,2022-09-15T10:03:09+00:00
29672,NZAS,small_airport,"Ashburton Aerodrome",-43.90330123901367,171.7969970703125,302,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,NZAS,ASG,,,https://en.wikipedia.org/wiki/Ashburton_Aerodrome,,50,2008-07-18T11:51:49+00:00
29936,NZHR,small_airport,"Hanmer Springs Airport",-42.55080032348633,172.82699584960938,1109,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,NZHR,,,http://anzfc.inet.net.nz/hanmer.htm,,,50,2008-12-09T06:09:07+00:00
30557,NZWL,small_airport,"West Melton Aerodrome",-43.47669982910156,172.39700317382812,312,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,NZWL,,,,,,50,2008-07-18T10:56:01+00:00
29877,NZFJ,small_airport,"Franz Josef Aerodrome",-43.36309814453125,170.13400268554688,240,OC,"New Zealand",NZ,"West Coast Region",NZ-WTC,WTC,,0,NZFJ,WHO,,,,,50,2008-07-18T10:59:09+00:00
29917,NZGM,small_airport,"Greymouth Airport",-42.461700439453125,171.19000244140625,10,OC,"New Zealand",NZ,"West Coast Region",NZ-WTC,WTC,,0,NZGM,GMN,,,,,50,2008-07-18T11:00:04+00:00
5034,NZHS,small_airport,"Hastings Aerodrome",-39.646702,176.766998,72,OC,"New Zealand",NZ,"Hawke's Bay Region",NZ-HKB,HKB,"Bridge Pa",0,NZHS,,,http://www.hbecac.co.nz/,https://en.wikipedia.org/wiki/Hastings_Aerodrome,,50,2016-09-19T03:48:06+00:00
42727,NZ-0013,small_airport,Culverden,-42.76765060424805,172.8919677734375,597,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,"Hurunui District Council",0,,,,http://anzfc.inet.net.nz/culverden.htm,,,50,2008-12-09T19:41:19+00:00
5062,NZWK,medium_airport,"Whakatane Airport",-37.92060089111328,176.91400146484375,20,OC,"New Zealand",NZ,"Bay of Plenty Region",NZ-BOP,BOP,,1,NZWK,WHK,,,https://en.wikipedia.org/wiki/Whakatane_Airport,,750,2008-06-13T14:30:04+00:00
5040,NZMO,medium_airport,"Manapouri Airport",-45.53310012817383,167.64999389648438,687,OC,"New Zealand",NZ,"Southland Region",NZ-STL,STL,,0,NZMO,TEU,,,,,250,2008-06-13T14:30:04+00:00
30267,NZPN,small_airport,"Picton Aerodrome",-41.346099853516,173.95599365234,161,OC,"New Zealand",NZ,"Marlborough Region",NZ-MBH,MBH,Koromiko,1,NZPN,PCN,,,https://en.wikipedia.org/wiki/Picton_Aerodrome,,100,2015-10-07T01:05:12+00:00
30321,NZRK,small_airport,"Rangitaiki Airfield",-38.88639831542969,176.36399841308594,2323,OC,"New Zealand",NZ,"Bay of Plenty Region",NZ-BOP,BOP,,0,NZRK,,,,,,50,2008-07-18T10:49:30+00:00
29873,NZFF,small_airport,"Forest Field Aerodrome",-43.385799407958984,172.36099243164062,381,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,NZFF,,,,https://en.wikipedia.org/wiki/Forest_Field_Aerodrome,,50,2008-07-18T11:56:05+00:00
30215,NZOA,small_airport,"Omarama Glider Airport",-44.486698150634766,169.98599243164062,1381,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,NZOA,,,,,,50,2008-07-18T10:53:59+00:00
30300,NZPH,small_airport,"Pudding Hill Aerodrome",-43.594200134277344,171.531005859375,1558,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,NZPH,,,,,,50,2008-07-18T10:56:33+00:00
30549,NZYP,small_airport,"Waipukurau Airport",-39.996700286865234,176.53700256347656,430,OC,"New Zealand",NZ,"Hawke's Bay Region",NZ-HKB,HKB,,0,NZYP,,,,,,50,2008-07-18T11:12:16+00:00
29816,NZDV,small_airport,"Dannevirke Aerodrome",-40.22829818725586,176.07899475097656,640,OC,"New Zealand",NZ,"Manawatu-Wanganui Region",NZ-MWT,MWT,,0,NZDV,,,,https://en.wikipedia.org/wiki/Dannevirke_Aerodrome,,50,2008-07-18T11:54:46+00:00
29896,NZGY,small_airport,"Glenorchy Airport",-44.871700286865234,168.3979949951172,1260,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,,0,NZGY,,,,,,50,2008-07-18T10:44:58+00:00
30107,NZVL,small_airport,"Mandeville Aerodrome",-45.990299224853516,168.81199645996094,351,OC,"New Zealand",NZ,"Southland Region",NZ-STL,STL,,0,NZVL,,,,,,50,2008-07-18T10:38:12+00:00
30475,NZTZ,closed,"Te Anau Airport",-45.462799,167.701004,791,OC,"New Zealand",NZ,"Southland Region",NZ-STL,STL,,0,,,,,https://en.wikipedia.org/wiki/Te_Anau_Aerodrome,NZTZ,50,2022-09-15T13:11:15+00:00
30166,NZMK,small_airport,"Motueka Airport",-41.12329864501953,172.98899841308594,39,OC,"New Zealand",NZ,"Tasman Region",NZ-TAS,TAS,,0,NZMK,MZP,,,,,50,2008-09-15T10:11:13+00:00
30124,NZMA,small_airport,"Matamata Glider Airport",-37.73440170288086,175.74200439453125,180,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,,0,NZMA,MTA,,,,,50,2008-07-18T11:20:30+00:00
30250,NZUN,small_airport,"Pauanui Aerodrome",-37.021068,175.863626,20,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,Pauanui,0,NZUN,,,,,,50,2022-09-19T14:12:10+00:00
30442,NZSD,small_airport,"Stratford Airport",-39.31890106201172,174.30999755859375,951,OC,"New Zealand",NZ,"Taranaki Region",NZ-TKI,TKI,Stratford,0,NZSD,,,,,,50,2009-08-23T20:05:09+00:00
30477,NZTE,small_airport,"Te Kowhai Airfield",-37.744202,175.160995,49,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,"Te Kowhai",0,NZTE,,,,,,50,2021-06-01T18:03:02+00:00
319531,NZGH,heliport,"Glacier Country Heliport",-43.38722,170.18,457,OC,"New Zealand",NZ,"West Coast Region",NZ-WTC,WTC,"Franz Josef Glacier",0,NZGH,,,,,,0,2016-07-16T18:31:38+00:00
44829,NZRL,seaplane_base,"Rotorua Lakes Water Aerodrome",-38.08330154418945,176.26699829101562,,OC,"New Zealand",NZ,"Bay of Plenty Region",NZ-BOP,BOP,"Lake Rotorua",0,NZRL,,,,,,0,2009-08-23T20:50:25+00:00
5037,NZKT,medium_airport,"Kaitaia Airport",-35.069837,173.287053,270,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,Awanui,1,NZKT,KAT,,,https://en.wikipedia.org/wiki/Kaitaia_Airport,,750,2022-09-19T11:35:04+00:00
5038,NZLX,medium_airport,"Alexandra Aerodrome",-45.210495,169.371113,752,OC,"New Zealand",NZ,"Otago Region",NZ-OTA,OTA,Alexandra,0,NZLX,ALR,,,https://en.wikipedia.org/wiki/Alexandra_Aerodrome,,250,2021-10-14T17:36:50+00:00
5064,NZWO,medium_airport,"Wairoa Airport",-39.006900787353516,177.40699768066406,42,OC,"New Zealand",NZ,"Hawke's Bay Region",NZ-HKB,HKB,Wairoa,0,NZWO,WIR,,,,,250,2009-08-23T19:40:49+00:00
29674,NZHB,closed,"Auckland Hobsonville Airport",-36.791698455811,174.66400146484,59,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,,0,,,,,,"NZHB, NZHB",50,2015-09-06T17:07:10+00:00
