WARD2015_V1_00,WARD2015_V1_00_NAME,AREA_SQ_KM,LAND_AREA_SQ_KM
101,Te Hiku Ward,2319.609719,2319.536259
102,Bay of Islands-Whangaroa Ward,2062.564932,2062.561255
103,Kaikohe-Hokianga Ward,2307.79044,2295.311271
201,Mangakahia-Maungatapere Ward,579.6071529,579.6071331
202,Hikurangi-Coastal Ward,989.18794,989.1852057
203,Whangarei Heads Ward,271.6689137,271.6691253
204,Denby Ward,20.20610526,20.20600412
205,Okara Ward,31.51341004,31.51343021
206,Bream Bay Ward,819.6576173,819.6272808
301,Dargaville Ward,12.55757727,12.55755417
302,West Coast-Central Ward,2368.725646,2368.756953
303,Otamatea Ward,727.3803624,727.3913779
1101,Coromandel-Colville Ward,559.5633653,559.5639215
1102,Mercury Bay Ward,709.6547014,709.6536047
1103,Thames Ward,473.2513577,473.2395443
1104,South Eastern Ward,464.5719607,464.5594768
1201,Plains Ward,605.4469309,605.4585563
1202,Paeroa Ward,279.4251507,279.4261906
1203,Waihi Ward,385.1621988,385.1622037
1301,Awaroa ki Tuakau Ward,333.290899,333.2902587
1302,Onewhero-Te Akau Ward,1290.615685,1278.71434
1303,Whangamarino Ward,676.3210613,664.5708198
1304,Hukanui-Waerenga Ward,624.2016125,624.1768381
1305,Eureka Ward,217.2068453,217.2290286
1306,Huntly Ward,391.4870063,367.7931211
1307,Ngaruawahia Ward,118.6830164,118.6821345
1308,Newcastle Ward,145.6790746,145.6777946
1309,Raglan Ward,595.6125413,595.6229773
1310,Tamahere Ward,57.51064788,57.5106533
1501,Morrinsville Ward,573.0296587,573.0373382
1502,Te Aroha Ward,517.1641093,517.1546663
1503,Matamata Ward,665.2627731,665.2474836
1601,West Ward,64.74502907,64.18111739
1602,East Ward,46.19400906,46.19392515
1701,Pirongia Ward,439.1307296,439.1271347
1702,Cambridge Ward,73.66108869,73.66562251
1703,Maungatautari Ward,437.2145711,437.2237879
1704,Te Awamutu Ward,55.24234774,55.24193749
1705,Kakepuku Ward,464.7908046,464.7830309
1801,Kawhia-Tihiroa Ward,791.2216197,791.2137564
1802,Waipa Ward,468.5789849,468.5825385
1803,Kiokio-Korakonui Ward,163.3513385,163.3603234
1804,Otorohanga Ward,5.07390689,5.073787112
1805,Wharepuhunga Ward,570.9489506,570.9573049
1901,Tirau Ward,293.0703225,293.0720627
1902,Putaruru Ward,562.625945,562.6245347
1903,Tokoroa Ward,963.3056899,963.3058355
2001,Waitomo Rural Ward,3530.007939,3530.007775
2002,Te Kuiti Ward,4.78136972,4.781369953
2101,Mangakino-Pouakani Ward,1232.159364,1232.14789
2102,Taupo-Kaingaroa Ward,2852.059508,2851.677926
2103,Turangi-Tongariro Ward,2880.23793,2249.563379
2201,Katikati-Waihi Beach Ward,364.5841306,364.5856505
2202,Maketu-Te Puke Ward,816.6179877,816.6886686
2203,Kaimai Ward,769.5566897,769.5628294
2301,Mount Maunganui-Papamoa Ward,60.68532388,60.68532309
2302,Otumoetai-Pyes Pa Ward,41.06347107,41.06373003
2303,Te Papa-Welcome Bay Ward,33.00306473,33.00306794
2499,Area Outside Ward,2619.062265,2409.038254
2501,Rangitaiki Ward,849.5633831,849.5601495
2502,Whakatane-Ohope Ward,48.93151843,48.93113617
2503,Taneatua-Waimana Ward,1506.273122,1506.276334
2504,Galatea-Murupara Ward,2045.247357,2045.248773
2699,Area Outside Ward,23.63086581,23.63089922
2701,Coast Ward,1568.519069,1568.602047
2702,Waioeka-Waiotahi Ward,1506.667063,1506.58267
2703,Opotiki Ward,14.04667615,14.04667639
2801,Matakaoa-Waiapu Ward,1684.581981,1684.581982
2802,Waipaoa Ward,4147.8886,4147.888402
2803,Tawhiti-Uawa Ward,2342.922749,2342.922747
2804,Taruheru-Patutahi Ward,166.0925886,166.0925443
2805,Gisborne Ward,44.32332879,44.32336158
2999,Area Outside Ward,4130.153756,4076.877858
3001,Mohaka Ward,3448.243518,3448.624224
3002,Heretaunga Ward,183.1976637,183.1986821
3003,Hastings-Havelock North Ward,26.49909608,26.49911482
3004,Flaxmere Ward,6.39866604,6.398330084
3005,Kahuranaki Ward,1562.019132,1562.00754
3101,Ahuriri Ward,36.96766879,36.96771447
3102,Onekawa-Tamatea Ward,5.64862777,5.648628169
